Time,Exterior temperature (°C),Exterior humidity (°C),Insolation (W/m2),Target temperature range inf (°C),Target temperature range max (°C),Load power (W),Appliances power (W),Home electronics power (W),Production power (W),Batteries power (W),Grid power (W),Relative humidity (%),CO2 concentration (ppm),Temperature room 1 (°C),Temperature room 2 (°C),Temperature room 3 (°C),Temperature fridge (°C),Temperature freezer (°C),Temperature washing machine (°C),Temperature dishwasher (°C),Temperature oven (°C)
2014-07-01T00:00:00Z,12.2,90,0,18,25.3,0,0,0,0,0,0,53.2,468.9,18.7,19.2,16.5,15.5,22.5,19.4,19.9,20.50
2014-07-01T00:01:00Z,12.2,89,0,18,25.3,119.9,60,0,0,0,119.9,53.3,468.9,18.7,19.2,16.5,15.5,21.9,19.5,19.9,20.4
2014-07-01T00:02:00Z,12.2,89,0,18,25.3,120,118,0,0,0,120,53.3,468.9,18.7,19.2,16.5,15.5,22.3,19.5,19.9,20.4
2014-07-01T00:03:00Z,12.2,89,0,18,25.3,120,120,0,0,0,120,53.3,466.5,18.7,19.2,16.5,15.5,22.9,19.5,19.9,20.4
2014-07-01T00:04:00Z,12.2,89,0,18,25.3,63,122,0,0,0,63,53.3,468.8,18.7,19.1,16.5,15.5,21.9,19.5,19.9,20.4
2014-07-01T00:05:00Z,12.2,89,0,18,25.3,119,61,0,0,0,119,53.3,468.9,18.7,19.1,16.6,15.5,23.3,19.5,19.9,20.4
2014-07-01T00:06:00Z,12.2,89,0,18,25.3,120,119,0,0,0,120,53.3,468.9,18.7,19,16.6,15.5,21.8,19.5,19.9,20.4
2014-07-01T00:07:00Z,12.2,89,0,18,25.3,118.1,120,0,0,0,118.1,53.3,467.7,18.7,19,16.6,15.4,24,19.5,19.9,20.4
2014-07-01T00:08:00Z,12.2,89,0,18,25.3,61.9,120,0,0,0,61.9,53.3,466.5,18.7,19,16.7,15.5,22.6,19.5,19.9,20.4
2014-07-01T00:09:00Z,12.2,89,0,18,25.3,118,60,0,0,0,118,53.3,468.8,18.7,19,16.7,15.4,23.1,19.4,19.9,20.4
2014-07-01T00:10:00Z,12.2,89,0,18,25.3,120,118,0,0,0,120,53.4,466.5,18.6,19,16.7,15.4,22,19.4,19.9,20.4
2014-07-01T00:11:00Z,12.2,89,0,18,25.3,122,122,0,0,0,122,53.4,468.8,18.6,19,16.8,15.4,22.3,19.4,19.9,20.4
2014-07-01T00:12:00Z,12.2,90,0,18,25.3,120,120,0,0,0,120,53.4,466.5,18.6,18.9,16.8,15.4,22.4,19.4,19.9,20.4
